Date (BST),Japan,China,South Korea,Chinese Taipei,India,United Kingdom,France,Belgium,Spain,Turkey,Mexico (Altamira),Mexico (Manzanillo),Argentina,Brazil (Salvador),Egypt (Ain Sukhna)
2025-01-06 00:00:00,12.63,12.53,12.61,12.52,12.385,12.830895291150554,12.840895291150554,12.820895291150554,12.278827482890895,12.078827482890894,13.87,13.34,13.15,13.39,12.755
2025-01-13 00:00:00,12.55,12.46,12.54,12.45,12.1675,13.10701781506986,13.11701781506986,13.09701781506986,13.120143132694105,12.920143132694104,13.995,13.475,13.285,13.525,12.49
2025-01-20 00:00:00,12.8,12.72,12.79,12.71,12.51,13.78259916426623,13.78259916426623,13.762599164266229,13.896147372718596,13.716147372718597,14.54,14.05,13.91,14.12,12.78
2025-01-27 00:00:00,12.75,12.68,12.74,12.67,12.74,14.152640698222871,14.142640698222872,14.122640698222872,14.26741360617659,14.10741360617659,14.85,14.4,14.3,14.49,12.95
2025-02-03 00:00:00,13.82,13.74,13.81,13.73,13.44,14.773953890618035,14.783953890618035,14.773953890618035,14.742854012154769,14.592854012154769,15.9,15.45,15.35,15.54,13.66
2025-02-10 00:00:00,14.97,14.89,14.96,14.88,14.76,15.898714836933282,15.918714836933283,15.908714836933283,15.960540418369197,15.800540418369197,16.3,15.84,15.74,15.93,15.03
2025-02-17 00:00:00,12.94,12.87,12.93,12.86,13.2,14.771024303165815,14.791024303165814,14.771024303165815,14.732814711698607,14.592814711698606,14.44,14.0,13.92,14.1,13.44
2025-02-24 00:00:00,12.19,12.1,12.18,12.09,11.89,13.090171596389728,13.100171596389728,13.090171596389728,12.715313910229186,12.525313910229185,13.1175,12.5975,12.4375,12.6675,12.23
2025-03-03 00:00:00,12.26,12.17,12.25,12.16,11.54,12.746082883204068,12.756082883204067,12.736082883204068,12.52827058231466,12.34827058231466,12.62,12.12,11.98,12.2,11.87
2025-03-10 00:00:00,12.16,12.07,12.15,12.06,11.36,12.077029121409524,12.097029121409523,12.077029121409524,12.146749405392772,11.966749405392772,12.74,12.25,12.1,12.32,11.68
2025-03-17 00:00:00,12.35,12.26,12.34,12.25,11.4725,12.224670502741748,12.244670502741748,12.224670502741748,12.157010703091673,11.987010703091673,12.78,12.29,12.14,12.36,11.7925
2025-03-24 00:00:00,11.82,11.74,11.81,11.73,11.59,12.099804694947384,12.119804694947383,12.099804694947384,12.104837532509874,11.944837532509876,12.66,12.18,12.07,12.27,11.89
2025-03-31 00:00:00,11.83,11.75,11.83,11.75,11.46,11.875384089991227,11.895384089991229,11.885384089991229,11.864620979715012,11.694620979715012,12.36,11.89,11.79,11.98,11.75
2025-04-07 00:00:00,10.65,10.57,10.64,10.56,9.91,11.003766734993322,11.023766734993321,11.003766734993322,11.214136830327257,11.054136830327257,10.66,10.19,10.09,10.28,10.19
2025-04-14 00:00:00,10.38,10.3,10.37,10.29,9.83,10.178373178694033,10.188373178694034,10.178373178694033,10.424492730897294,10.264492730897294,10.82,10.36,10.27,10.45,10.09
2025-04-21 00:00:00,10.54,10.45,10.53,10.44,9.85,10.275284602965575,10.305284602965576,10.285284602965575,10.28692270221916,10.10692270221916,10.86,10.37,10.23,10.44,10.17
2025-04-28 00:00:00,9.705,9.615,9.695,9.605,9.2375,9.686360834118334,9.716360834118333,9.696360834118334,9.745369382370564,9.560369382370563,10.02,9.525,9.375,9.595,9.5725
2025-05-05 00:00:00,10.535,10.445,10.525,10.44,9.865,9.787559876916037,9.817559876916038,9.797559876916038,9.943189286091375,9.773189286091375,10.88,10.39,10.255,10.47,10.185
2025-05-12 00:00:00,10.53,10.44,10.52,10.43,10.125,10.289509546825748,10.319509546825747,10.299509546825748,10.362648099438381,10.182648099438381,10.97,10.48,10.34,10.55,10.45
2025-05-19 00:00:00,10.67,10.59,10.66,10.58,10.71,10.83830231211801,10.863302312118009,10.84830231211801,10.9893254189173,10.8293254189173,11.38,10.925,10.825,11.015,10.975
2025-05-26 00:00:00,10.68,10.605,10.67,10.6,10.92,11.202136798349143,11.222136798349142,11.212136798349142,11.271851409577831,11.12185140957783,11.63,11.18,11.08,11.27,11.18
2025-06-02 00:00:00,10.68,10.6,10.67,10.6,10.685,11.001558699889816,11.021558699889818,11.006558699889817,11.034612271964363,10.884612271964363,11.32,10.86,10.77,10.955,10.95
2025-06-09 00:00:00,10.665,10.59,10.655,10.585,11.08,11.188660485367405,11.203660485367406,11.188660485367405,11.180741645014255,11.020741645014255,11.49,11.03,10.93,11.12,11.35
2025-06-16 00:00:00,,,,,11.82,11.752279125356518,11.792279125356517,11.762279125356518,11.674642906317164,11.454642906317165,12.82,12.26,12.04,12.3,12.22
2025-06-23 00:00:00,11.56,11.45,11.55,11.44,11.3,12.194062930186915,12.234062930186916,12.214062930186914,12.302006919062705,12.082006919062705,12.38,11.82,11.6,11.87,11.7
2025-06-30 00:00:00,11.17,11.06,11.16,11.05,10.34,10.94562614492864,10.98562614492864,10.96562614492864,11.02463661974135,10.80463661974135,10.98,10.42,10.2,10.47,10.74
2025-07-07 00:00:00,11.48,11.38,11.47,11.37,10.72,10.635211962644872,10.675211962644873,10.655211962644872,10.643829144675546,10.443829144675545,11.24,10.72,10.53,10.77,11.02
2025-07-14 00:00:00,11.01,10.92,11.0,10.91,10.93,10.941480782228574,10.971480782228573,10.951480782228574,10.922807787760892,10.742807787760892,11.6,11.1,10.95,11.17,11.16
2025-07-21 00:00:00,10.63,10.54,10.61,10.53,10.3625,10.730248830029474,10.760248830029475,10.740248830029474,11.005056878243876,10.825056878243876,10.9925,10.4925,10.3525,10.5625,10.5925
2025-07-28 00:00:00,10.82,10.73,10.81,10.72,10.48,10.24004306092915,10.26004306092915,10.25004306092915,10.527636356051154,10.347636356051154,11.08,10.58,10.43,10.65,10.71
2025-08-04 00:00:00,10.63,10.54,10.62,10.53,10.37,10.643392344806719,10.66339234480672,10.643392344806719,10.655645030245841,10.475645030245841,10.85,10.35,10.21,10.43,10.6
2025-08-11 00:00:00,10.39,10.31,10.38,10.3,10.06,10.303034446322751,10.323034446322753,10.313034446322751,10.403444302306875,10.233444302306875,10.48,9.99,9.85,10.06,10.28
2025-08-18 00:00:00,10.22,10.14,10.22,10.14,9.62,10.01071735536351,10.03071735536351,10.01071735536351,10.043847123890698,9.873847123890698,10.44,9.97,9.86,10.05,9.81
2025-08-25 00:00:00,10.105,10.025,10.095,10.025,10.08,10.136570769391934,10.156570769391935,10.136570769391934,10.102750106884136,9.942750106884136,10.87,10.4,10.29,10.49,10.26
2025-09-01 00:00:00,10.17,10.1,10.16,10.09,9.84,10.033152941717233,10.053152941717233,10.043152941717233,10.014043105511155,9.864043105511156,10.39,9.93,9.84,10.03,10.0
2025-09-08 00:00:00,10.37,10.29,10.36,10.29,10.05,10.038195896177914,10.068195896177913,10.048195896177914,10.074331611486949,9.914331611486949,10.66,10.2,10.1,10.29,10.21
